boundary_name,year,capability_mw
B0,2025,1900.0
B0,2026,1900.0
B0,2027,1900.0
B0,2028,1900.0
B0,2029,1900.0
B0,2030,3600.0
B0,2031,3600.0
B0,2032,5500.0
B0,2033,5500.0
B0,2034,5500.0
B0,2035,5500.0
B0,2036,5500.0
B0,2037,5500.0
B0,2038,5500.0
B0,2039,5500.0
B0,2040,5500.0
B0,2041,5500.0
B0,2042,5500.0
B0,2043,5500.0
B0,2044,5500.0
B13,2025,3400.0
B13,2026,5500.0
B13,2027,6600.0
B13,2028,6600.0
B13,2029,6600.0
B13,2030,6600.0
B13,2031,6600.0
B13,2032,6600.0
B13,2033,6600.0
B13,2034,6600.0
B13,2035,6600.0
B13,2036,6600.0
B13,2037,6600.0
B13,2038,6600.0
B13,2039,6600.0
B13,2040,6600.0
B13,2041,6600.0
B13,2042,6600.0
B13,2043,6600.0
B13,2044,6600.0
B14,2025,11600.0
B14,2026,11600.0
B14,2027,11600.0
B14,2028,11600.0
B14,2029,11600.0
B14,2030,11600.0
B14,2031,11600.0
B14,2032,11600.0
B14,2033,11600.0
B14,2034,11600.0
B14,2035,11600.0
B14,2036,11600.0
B14,2037,11600.0
B14,2038,11600.0
B14,2039,11600.0
B14,2040,11600.0
B14,2041,11600.0
B14,2042,11600.0
B14,2043,11600.0
B14,2044,11600.0
B1a,2025,3000.0
B1a,2026,4200.0
B1a,2027,5100.0
B1a,2028,5100.0
B1a,2029,3700.0
B1a,2030,6600.0
B1a,2031,7400.0
B1a,2032,7400.0
B1a,2033,7700.0
B1a,2034,7500.0
B1a,2035,7500.0
B1a,2036,7500.0
B1a,2037,7500.0
B1a,2038,7500.0
B1a,2039,7500.0
B1a,2040,7500.0
B1a,2041,7500.0
B1a,2042,7500.0
B1a,2043,7500.0
B1a,2044,7500.0
B2,2025,3500.0
B2,2026,3900.0
B2,2027,4600.0
B2,2028,4600.0
B2,2029,5800.0
B2,2030,7000.0
B2,2031,8400.0
B2,2032,8200.0
B2,2033,8600.0
B2,2034,9400.0
B2,2035,9400.0
B2,2036,9400.0
B2,2037,9400.0
B2,2038,9400.0
B2,2039,9400.0
B2,2040,9400.0
B2,2041,9400.0
B2,2042,9400.0
B2,2043,9400.0
B2,2044,9400.0
B4,2025,4000.0
B4,2026,4400.0
B4,2027,4900.0
B4,2028,4900.0
B4,2029,4900.0
B4,2030,7000.0
B4,2031,7500.0
